Gépcoop cikkszám;  Cikknév;Iron trade;Csavarda;Koelner;Mekrs;Fabory;Ferdinand;Reyher;Hopefix;Fastbolt;Schafer;King;Wasi
110235ZN;BIZTOSÍTÓCSAP+KARIKA HORGANYZOTT 5X42-ES DIN 11023;;;;14603.18.02.050.032;;;;;;;;
1102364022ZN;RÚGÓS BIZTOSÍTÓCSAP CSŐRE HORGANYZOTT 6X40X22;;;;;;;;;;;;
110236ZN;BIZTOSÍTÓCSAP+KARIKA HORGANYZOTT 6X42-ES DIN 11023;11023060004200005000;11023060004200001000;58719;14603.18.02.060.042;39606.060.001;;110230100060000;;;;;
110237ZN;BIZTOSÍTÓCSAP+KARIKA HORGANYZOTT 7X42-ES DIN 11023;11023070004200005000;11023070004200001000;58721;;39606.070.001;;;;;;;
110238ZN;BIZTOSÍTÓCSAP+KARIKA HORGANYZOTT 8X42-ES DIN 11023;11023080004200005000;11023080004200001000;58722;14603.18.02.080.042;39606.080.001;;110230100080000;;;;;
110239ZN;BIZTOSÍTÓCSAP+KARIKA HORGANYZOTT 9X42-ES DIN 11023;11023090004200005000;11023090004200001000;58724;14603.18.02.090.042;39606.095.001;;;;;;;
110241432ZN;RUGÓS TENGELYBIZTOSÍTÓ HORGANYZOTT 1.4-ES DIN 11024;11024014003200005001;;58681;;;;;;;;;
11024250A2;RUGÓS TENGELYBIZTOSÍTÓ 2-ES A2 DIN 11024;;;;;;;;;;;;
11024250ZN;RUGÓS TENGELYBIZTOSÍTÓ HORGANYZOTT 2-ES DIN 11024;11024020005000001001;;58682;19000.18.01.020.000;39610.020.001;;;;;;;
110242550ZN;RUGÓS TENGELYBIZTOSÍTÓ HORGANYZOTT 2.5-ÖS DIN 11024;;;;;;;;;;;;
1102425ZNK;RUGÓS TENGELYBIZTOSÍTÓ KETTŐS HORGANYZOTT 2.5 DIN 11024;11024025006500000000;;58701;;;;;;;;;
110242ZNK;RUGÓS TENGELYBIZTOSÍTÓ KETTŐS HORGANYZOTT 2 DIN 11024;;11024020005000005000;58700;;;;;;;;;
110243562ZN;RUGÓS TENGELYBIZTOSÍTÓ HORGANYZOTT 3.5-ÖS DIN 11024;11024035006200005001;;58686;;39608.030.001;;;;;;;
11024358A2;RUGÓS TENGELYBIZTOSÍTÓ 3-AS A2 DIN 11024;;;;;51970.030.001;;;;;11024432;;
1102435ZNK;RUGÓS TENGELYBIZTOSÍTÓ KETTŐS HORGANYZOTT 3.5 DIN 11024;11024035009000005000;;;;;;;;;;;
11024373ZNK;RUGÓS TENGELYBIZTOSÍTÓ KETTŐS HORGANYZOTT 3 /73 MM/ DIN11024;;;;;;;;;;;;
11024375ZN;RUGÓS TENGELYBIZTOSÍTÓ HORGANYZOTT 3-AS DIN 11024;11024030005800005001;11024030007500001000;58685;;;;;;;;;
110243ZNK;RUGÓS TENGELYBIZTOSÍTÓ KETTŐS HORGANYZOTT 3 /63 MM/ DIN11024;11024031007000005000;;;19010.18.01.030.000;39631.032.001;;;;;;;
1102445ZN;RUGÓS TENGELYBIZTOSÍTÓ HORGANYZOTT 4.5-ES DIN 11024;;;;;;;;;;;;
11024460ZN;RUGÓS TENGELYBIZTOSÍTÓ HORGANYZOTT 4-ES/ 60/ DIN 11024;;;58687;;;;;;;;;
11024464A2;RUGÓS TENGELYBIZTOSÍTÓ 4-ES A2 DIN 11024;;;;;51970.040.001;;;;;;;
11024480ZN;RUGÓS TENGELYBIZTOSÍTÓ HORGANYZOTT 4-ES DIN 11024;11024040008000001001;11024040008000001001;58688;19000.18.01.040.000;39631.040.001;;;;;;;
110244A4;RUGÓS TENGELYBIZTOSÍTÓ KETTŐS  4-ES A4  DIN 11024;;;;;;;;;;;;
110244ZNK;RUGÓS TENGELYBIZTOSÍTÓ KETTŐS HORGANYZOTT 4 DIN 11024;11024040007800005000;;;19010.18.01.040.000;39631.040.001;;;;;;;
110245105ZNK;RUGÓS TENGELYBIZTOSÍTÓ KETTŐS HORGANYZOTT 5 /105 mm/ DIN 11024;;;;;39631.050.001;;;;;;;
11024585A2;RUGÓS TENGELYBIZTOSÍTÓ 5-ÖS A2 DIN 11024;;;;;;;;;;;;
11024585ZN;RUGÓS TENGELYBIZTOSÍTÓ HORGANYZOTT 5-ÖS DIN 11024;11024050008500005001;;58692;19000.18.01.050.000;39608.050.001;;;;;;;
110245ZNK;RUGÓS TENGELYBIZTOSÍTÓ KETTŐS HORGANYZOTT 5 /85 mm/ DIN 11024;11024050011500005000;;;19010.18.01.050.000;39631.050.001;;;;;;;
110246105ZN;RUGÓS TENGELYBIZTOSÍTÓ HORGANYZOTT 6-OS DIN 11024;11024060010500001001;11024060012000001001;58695;19000.18.01.060.000;39608.060.001;;;;;;;
11024660A2;RUGÓS TENGELYBIZTOSÍTÓ 6-OS A2 DIN 11024;;;;;;;;;;;;
110246ZNK;RUGÓS TENGELYBIZTOSÍTÓ KETTŐS HORGANYZOTT 6 DIN 11024;11024060012000005000;;;19010.18.01.060.000;;;;;;;;
110247105ZN;RUGÓS TENGELYBIZTOSÍTÓ HORGANYZOTT 7-ES DIN 11024;11024070010500001001;;58697;;;;;;;;;
110247130ZNK;RUGÓS TENGELYBIZTOSÍTÓ KETTŐS HORGANYZOTT 7X130 DIN 11024;11024070013000001000;;;;;;;;;;;
110248110ZN;RUGÓS TENGELYBIZTOSÍTÓ HORGANYZOTT 8-AS DIN 11024;11024080013000005000;;58698;19000.18.01.080.000;39610.080.001;;;;;;;
1112311ZN;CSŐTENGELYRÖGZÍTŐ CSAP 11X45-ÖS DIN 11123;;;;;;;;;;;;
114102148155;SZEGECSELHETŐ ANYA M8X15,5 MIKROPEREMES A4 ART. 1021;;;;;;;;;;102148  155;;
114102148155A2;SZEGECSELHETŐ ANYA M8X15,5 MIKROPEREMES A2 ART. 1021;;;;;;;;;;102128  155;;
1141023H010CO35;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ ACÉL HATLAPÚ 23H10CO35;;;;;;;;;;;;
1141023H06KVO40;SZEGECSHÚZÓ ANYA M10 FÉLIG HATLAPÚ ACÉL KSF. 23H010KVO40H;;;03437;;;;;;;;;
1141023H10KVO40;SZEGECSHÚZÓ ANYA M10 FÉLIG HATLAPÚ ACÉL KSF. 23H10KVO40H;;;03437;;;;;;;;;
1141023M10CO60;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ PEREMES ACÉL 23M10CO60;;;;;;;;;;;;
1141023M10VO75;SZEGECSELHETŐ ANYA M10 SÜLLYESZTETTFEJŰ ACÉL 23M010VO75  4.5 -7.5-ig;;;;;;;;;;;;
1141024H10KVO40;SZEGECSELHETŐ ANYA M10 MIKROPEREMES HATLAPÚ A2 24H10KVO40;;;-;;;;;;;1027210 205;;
1141024M10CO30;SZEGECSELHETŐ ANYA M10 LAPOS PEREMES A2 24M10CO30 0.5-3;;;;;;;;;;1025210 17;;
1141027M10VO35KP;SZEGECSELHETŐ ANYA M10 KISPEREMŰ ACÉL ROVÁTKOLT 27M10VO35 FR;;;-;;;;;;;;;
11410A1M10SFLx;SZEGECSELHETŐ ANYA M10 SÜLLYESZTETTFEJŰ ALUMÍNIUM A1M10SFLx 2.5-4 FR 1.5-3.8;;;62472;;;;;;;;;
11410A1M10STC;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ ALUMÍNIUM A1M10STC S 1-3.5;;;50065;;;;;;;;;
11410A224M10CO60;SZEGECSELHETŐ ANYA M10 PEREMES A2 24M10CO60 FR;;;;;;;;;;1025210 22;;
11410A224M10VO45;SZEGECSELHETŐ ANYA M10 SÜLLYESZTETTFEJŰ A2 24M10VO45;;;-;;;;;;;1023210 21;;
11410A2I1M10SFLKP;SZEGECSELHETŐ ANYA M10 KISPEREMŰ ROVÁTKOLT A2 I1M10SFL   FR;;;6130822;;;;;;;1021210 195;;
11410A2I1M10SFLSF;SZEGECSELHETŐ ANYA M10 SÜLLYESZTETTFEJŰ A2 I1M10SFLx1.5-4.5;;;01553;;;;;;;1023210 21;;
11410A2M10STC;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ A2  I1M10STC S 1-3.5;;;6130635;;;;;;;;;
11410A4MPHL1040;SZEGECSELHETŐ ANYA M10 MIKROPEREMES HATLAPÚ A4 ÁTFOGÁS: 1.0-4.0 MM;;;;;;;;;;1027410 205;;
11410S1M10ETC;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ ACÉL HATLAPÚ S1M10ETC;;;6130832;;;;;;;;;
11410S1M10SFL12KP;SZEGECSELHETŐ ANYA M10 KISPEREMŰ ACÉL S1M10SFL/12 FR;;;03417;;;;;;;;;
11410S1M10SFL12SF;SZEGECSELHETŐ ANYA M10 SÜLLYESZTETTFEJŰ ACÉL S1M10SFLx/12 S;11855010005000001001;;03415;;;;;;;;;
11410S1M10SFL13KP;SZEGECSELHETŐ ANYA M10 KISPEREMŰ ACÉL S1M10SFL/13 S;;;52619;;;;;;;;;
11410S1M10SFL13SF;SZEGECSELHETŐ ANYA M10 SÜLLYESZTETTFEJŰ ACÉL S1M10SFLx/13 FR;11855010005000001001;;60987;;;;;;;;;
11410S1M10SFL13SF1745;SZEGECSELHETŐ ANYA M10 SÜLLYESZTETTFEJŰ ACÉL S1M10SFLx/13 ÁTFOGÁS 1.7-4.5 MM;;;03416;;;;;;;;;
11410S1M10STC12;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ ACÉL S1M10STC/12 S;;;;;;;;;;;;
11410S1M10STC12FR;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ ACÉL S1M10STC/12 FR 1-3.5;;;03418;;;;;;;;;
11410S1M10STC13;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ ACÉL S1M10STC/13 S;;;6130805;;;;;;;;;
11410S1M10STC13RO;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ ACÉL S1M10STC/13 FR;11850010003500001001;;03419;11710.18.01.100.022;;;;;;;;
11410S2M10STC12;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ ACÉL S2M10STC/12 3.5-6;;;03448;;;;;;;;;
11410S2M10STC13;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ ACÉL S2M10STC/13 4-6.5;;;64337;;;;;;;;;
1141224M12KVO75;SZEGECSELHETŐ ANYA M12 MIKRÓPEREMES A2 24M12KVO75;;;;;;;;;;-;;
1141224MBA2;SZEGECSELHETŐ ANYA M12X24 ROVÁTKOLT MIKRÓPEREMES A2;;;;;;;;;;1021212 24;;
11412S1M12SFL12KP;SZEGECSELHETŐ ANYA M12 KISPEREMŰ ACÉL S1M12SFL  FR;;;6130808;;;;;;;;;
11412S1M12SFL14SF;SZEGECSELHETŐ ANYA M12 SÜLLYESZTETTFEJŰ ACÉL M12X22/14 (2.5-5.5);11855012005000001001;;-;;;;;;;;;
11412S1M12STC;SZEGECSELHETŐ ANYA M12 LAPOSFEJŰ ACÉL S1M12STC;;;03420;;;;;;;;;
1141455364;SZEGECSELHETŐ ANYA TÖMLŐCSATLAKOZÁSSAL M5X7X25,5;;;;;;;;;;;;
114210MIN;SZORÍTÓ BILINCS 10-ES 9-10 MINŐSÍTETT DIN 1142;;;60503;;;;;;;;;
114212MIN;SZORÍTÓ BILINCS 13-AS 12-13 MINŐSÍTETT DIN 1142;;;60504;;;;;;;;;
114214MIN;SZORÍTÓ BILINCS 14-ES 14 MINŐSÍTETT DIN 1142;;;;;;;;;;;;
114216MIN;SZORÍTÓ BILINCS 16-OS 15-16 MINŐSÍTETT DIN 1142;;;60505;;;;;;;;;
11423H10CO35C;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ ACÉL HATLAPÚ (FEJ. ÁTM. 17MM) D13;;;;;;;;;;;;
11423M06CG30;SZEGECSELHETŐ ANYA ZÁRT M6 LAPOS PEREMES ACÉL 23M06CG30;;;6131116;;;;;;;;;
11423M06CO80;SZEGECSELHETŐ ANYA M6 LAPOSFEJŰ ACÉL 23M06CO80 5,5-8;;;;;;;;;;;;
11423M06VG45;SZEGECSELHETŐ ANYA ZÁRT M6 SÜLLYESZTETT FEJŰ ACÉL 23M06VG45;;;-;;;;;;;;;
11423M08CG30;SZEGECSELHETŐ ANYA ZÁRT M8 LAPOS PEREMES ACÉL 23M08CG30;;;03447;;;;;;;;;
11423M08CO60;SZEGECSELHETŐ ANYA M8 LAPOSFEJŰ ACÉL S1M8STC FR ÁTFOGÁS: 6MM IG;;;03455;;;;;;;;;
11423M10CO60D13;SZEGECSELHETŐ ANYA M10 LAPOSFEJŰ ACÉL S1M10STC/13  3,5-6;;;03448;;;;;;;;;
11423M12VO75;SZEGECSELHETŐ ANYA M12 SÜLLYESZTETTFEJŰ ACÉL d16;;;;;;;;;;;;
11425MIN;SZORÍTÓ BILINCS 5-ÖS 3-4 MINŐSÍTETT DIN 1142;;;60500;;;;;;;;;
11426MIN;SZORÍTÓ BILINCS 6-OS 5-6 MINŐSÍTETT DIN 1142;;;60501;;;;;;;;;
11427M06VO25C;SZEGECSELHETŐ ANYA M6 KISPEREMŰ ACÉL ÁTF: 0,5-2,5 D9;;;;;;;;;;;;
11427M08VO110;SZEGECSELHETŐ ANYA M8 KISPEREMÚ ACÉL RECÉZETT 4,5-11;;;;;;;;;;;;
11427M08VO30;SZEGECSELHETŐ ANYA M8 KISPEREMŰ ACÉL 0.5-3 11 MM-ES FEJ 27M08VO30;;;;;;;;;;;;
11427M10VO14013;SZEGECSELHETŐ ANYA M10 KISPEREMÚ ACÉL RECÉZETT 4,5-11 PEREM: 13;;;;;;;;;;;;
11428M06VO40;SZEGECSELHETŐ ANYA M6 SÜLLYESZTETTFEJŰ A4 NEM RECÉS;;;;;;;;;;102346  16;;
11428MIN;SZORÍTÓ BILINCS 8-AS 7-8 MINŐSÍTETT DIN 1142;;;60502;;;;;;;;;
114320M03KVO25;SZEGECSELHETŐ ANYA M3 MIKROPEREMES RECÉS ALUMÍNIUM 20M03KVO25;;;;;;;;;;;;
114323H03KVO25H;SZEGECSELHETŐ ANYA M3 KISPEREMŰ ACÉL HATLAPÚ 23H03KVO25H;;;;;;;;;;;;
114323H04KVO25H;SZEGECSELHETŐ ANYA M3 MIKROPEREMES ACÉL FÉLIG HATSZÖG 23H03KVO25H;;;;;;;;;;;;
114323H04KVO30H;SZEGECSELHETŐ ANYA M3 MIKROPEREMES ACÉL FÉLIG HATSZÖG 23H03KVO30H;;;;;;;;;;;;
1143A224H03KVO15;SZEGECSELHETŐ ANYA M3 KISPEREMŰ HATLAPÚ A2 24H03KVO15;;;;;;;;;;102723  9;;
1143A224H03KVO20;SZEGECSELHETŐ ANYA M3 KISPEREMŰ ROVÁTKOLT A2 24M03KVO20;;;;;;;;;;102123  9;;
1143A2I1M3STC;SZEGECSELHETŐ ANYA M3 LAPOSFEJŰ A2 I1M3STC;;;;;;;;;;102523  10;;
1143S1M3SFL;SZEGECSELHETŐ ANYA M3 KISPEREMŰ ACÉL S1M3SFL FR;;;03422;;;;;;;;;
1143S1M3SFLSF;SZEGECSELHETŐ ANYA M3 SÜLLYESZTETTFEJŰ ACÉL S1M3SFLx1.5-3.5;;;03423;;;;;;;;;
1143S1M3STC;SZEGECSELHETŐ ANYA M3 LAPOSFEJŰ ACÉL S1M3STC 0.5-1.5;;;03424;;;;;;;;;
114420M04KVO30;SZEGECSELHETŐ ANYA M4 MIKROPEREMES RECÉS ALUMÍNIUM 20M04KVO30;;;;;;;;;;;;
114423H04CO30;SZEGECSELHETŐ ANYA M4 LAPOS PER.  ACÉL VÉGIG HATLAP 23H04CO30;;;;;;;;;;;;
114423H04KVO30H;SZEGECSELHETŐ ANYA M4 MIKROPEREMES ACÉL FÉLIG HATSZÖG 23H04KVO30H;;;;;;;;;;;;
114423M04VO35;SZEGECSELHETŐ ANYA M4 SÜLLYESZTETTFEJŰ 23M04VO35 FR;;;;;;;;;;;;
114423M04VO60;SZEGECSELHETŐ ANYA M4 SÜLLYESZTETTFEJŰ ACÉL 23M04VO60;;;-;;;;;;;;;
114424M04KVO30;SZEGECSELHETŐ ANYA M4 MIKROPEREMES RECÉS A2 24M04KVO30;;;;;;;;;;-;;
114427M04VO30;SZEGECSELHETŐ ANYA M4 MIKROPEREMES RECÉS ACÉL 27M04VO30;;;;;;;;;;;;
1144A1M4SFL235;SZEGECSELHETŐ ANYA M4 SÜLLYESZTETTFEJŰ ALUMÍNIUM A1M4SFLx2-3.5;;;00002;;;;;;;;;
1144A1M4STC;SZEGECSELHETŐ ANYA M4 LAPOSFEJŰ ALUMÍNIUM A1M4STC S;;;00003;;;;;;;;;
1144A224H04KVO25;SZEGECSELHETŐ ANYA M4 KISPEREMŰ HATLAPÚ A2 24H04KVO25;;;;;;;;;;-;;
1144A2I1M4SFL;SZEGECSELHETŐ ANYA M4 KISPEREMŰ ROVÁTKOLT A2 I1M4SFL 0.5-2.5;;;56637;;;;;;;102124  10;;
1144A2I1M4STC;SZEGECSELHETŐ ANYA M4 LAPOSFEJŰ A2 I1M4STC;;;01556;;;;;;;102524  10;;
1144I1M4SFL1535;SZEGECSELHETŐ ANYA M4 SÜLLYESZTETTFEJŰ A2 I1M4SFLx1.5-3.5;;11865004002000040000;01555;;;;;;;102324  115;;
1144OHC30;SZEGECSELHETŐ ANYA M4 LAPOSFEJŰ ACÉL OHC-30 FR 0.5-3;;;03428;;69135.040.030;;;;;;;
1144S1M4EFL;SZEGECSELHETŐ ANYA M4 KISPEREMŰ ACÉL HATLAPÚ S1M4EFL;;;52065;;;;;;;;;
1144S1M4SFL;SZEGECSELHETŐ ANYA M4 KISPEREMŰ ACÉL S1M4SFL FR 0.5-2;11850004002000001001;;03425;;;;;;;;;
1144S1M4SFL1535FR;SZEGECSELHETŐ ANYA M4 SÜLLYESZTETTFEJŰ ACÉL S1M4SFLx1.5-3.5  FR;11855004003500001001;;03426;;;;;;;;;
1144S1M4SFL1535S;SZEGECSELHETŐ ANYA M4 SÜLLYESZTETTFEJŰ ACÉL S1M4SFLx1.5-3.5  S;;;03426;;;;;;;;;
1144S1M4STC;SZEGECSELHETŐ ANYA M4 LAPOSFEJŰ ACÉL S1M4STC FR;11850004002000001001;;03428;;;;;;;;;
114520M05KVO30;SZEGECSELHETŐ ANYA M5 MIKROPEREMES RECÉS ALUMÍNIUM 20M05KVO30;;;;;;;;;;;;
114523H05CO30;SZEGECSELHETŐ ANYA M5 LAPOS PER.  ACÉL VÉGIG HATLAP 23H05CO30;;;;;;;;;;;;
114523H05KVO25;SZEGECSELHETŐ ANYA M5 KISPEREMŰ ACÉL VÉGIG HATLAP 23H05KVO25;;;;;;;;;;;;
114523M04VO70;SZEGECSELHETŐ ANYA M5 SÜLLYESZTETTFEJŰ ACÉL 23M05VO70 4-7;;;;;;;;;;;;
114524M05CO30;SZEGECSELHETŐ ANYA M10 / 16 LAPOS PEREMES  A2 24H010CO30 0.5-3;;;;;;;;;;-;;
114524M05KVO30;SZEGECSELHETŐ ANYA M5 MIKRO PEREMES A2 24M05KVO30;;;-;;;;;;;-;;
114527M05VO30;SZEGECSELHETŐ ANYA M5 MIKROPEREMES RECÉS ACÉL 27M05VO30;;;03434;;;;;;;;;
114528M05CO30;SZEGECSELHETŐ ANYA M5 LAPOSFEJŰ A4 28M05CO30 SIMA;;;;;;;;;;;;
11453M04VO40;SZEGECSELHETŐ ANYA M5 SÜLLYESZTETTFEJŰ ACÉL 23M05VO40;;;;;;;;;;;;
1145A1M5SFL;SZEGECSELHETŐ ANYA M5 KISPEREMŰ ALUMÍNIUM A1M5SFL 0.5-2;;;62469;;;;;;;;;
1145A1M5SFL254;SZEGECSELHETŐ ANYA M5 SÜLLYESZTETTFEJŰ ALUMÍNIUM A1M5SFLx  1.5-3.5 S;;;00004;;;;;;;;;
1145A1M5STC;SZEGECSELHETŐ ANYA M5 LAPOSFEJŰ ALUMÍNIUM A1M5STC S;;;00005;;;;;;;;;
1145A224H05KVO30;SZEGECSELHETŐ ANYA M5 KISPEREMŰ HATLAPÚ A2 24H05KVO30;;;;;;;;;;-;;
1145A2I1M5SFLKP;SZEGECSELHETŐ ANYA M5 KISPEREMŰ ROVÁTKOLT A2 I1M5SFL 0.5-3 FR;;;56638;;;;;;;102125  115;;
1145A2I1M5SFLSF;SZEGECSELHETŐ ANYA M5 SÜLLYESZTETTFEJŰ A2 I1M5SFLx1.6-3.5FR;;;04395;;;;;;;102325  135;;
1145A2I1M5STC;SZEGECSELHETŐ ANYA M5 LAPOSFEJŰ A2 I1M5STC 0.5-2.5;;;01558;;;;;;;102525  12;;
1145A2M5SFL254;SZEGECSELHETŐ ANYA M5 SÜLLYESZTETTFEJŰ ALUMÍNIUM A2M5SFLx  1.5-3.5 S;;;;;;;;;;;;
1145S1M5EFL;SZEGECSELHETŐ ANYA M5 KISPEREMŰ ACÉL HATLAPÚ S1M5EFL;;;03429;;;;;;;;;
1145S1M5ETC;SZEGECSELHETŐ ANYA M5x13.5 LAPOSFEJŰ ACÉL HATLAPÚ S1M5ETC;;;03431;;;;;;;;;
1145S1M5SFL052;SZEGECSELHETŐ ANYA M5 KISPEREMŰ ACÉL S1M5SFL 0.5-3 FR;11850005002500001001;;03434;;;;;;;;;
1145S1M5SFL1538;SZEGECSELHETŐ ANYA M5 SÜLLYESZTETTFEJŰ ACÉL S1M5SFLx1.5-3.8 FR;11855005004000001001;;03435;;;;;;;;;
1145S1M5STC;SZEGECSELHETŐ ANYA M5 LAPOSFEJŰ ACÉL S1M5STC ÁTFOGÁS 0.5-2.5 MM 127430 FR;11850005002500001001;;03436;;;;;;;;;
1145S2M5STC;SZEGECSELHETŐ ANYA M5 LAPOFEJŰ ACÉL S2M5STC 3-5;;;03450;;;;;;;;;
114620M06KVO30;SZEGECSELHETŐ ANYA M6 MIKROPEREMES RECÉS ALUMÍNIUM 20M06KVO30;;;58186;;;;;;;;;
114622ZA2;SZEGECSELHETŐ ANYA ZÁRT M6 KISPEREMŰ A2 1028;;;;;;;;;;102826  22;;
114623H06CO30;SZEGECSELHETŐ ANYA M6 LAPOSFEJŰ ACÉL HATLAPÚ 23H06CO30;;;-;;;;;;;;;
114623H06KVG30;SZEGECSELHETŐ ANYA ZÁRT M6 KISPEREMŰ ACÉL HATLAP 23H06KVG30 L=22;;;-;;;;;;;;;
114623H06KVO25;SZEGECSELHETŐ ANYA M6 KSF.ACÉL VÉGIG HATLAP 23H06KVO25;;;;;;;;;;;;
114623H06KVO30;SZEGECSHÚZÓ ANYA M6 FÉLIG HATLAPÚ ACÉL KSF. 23H06KVO30H;;;03437;;;;;;;;;
114623H06KVO30V;SZEGECSHÚZÓ ANYA M6 VÉGIG HATLAPÚ ACÉL KSF. 23H06KVO30 0,5-3;;;;;;;;;;;;
114623H06KVO45H;SZEGECSHÚZÓ ANYA M6 FÉLIG HATLAPÚ ACÉL KSF. 23H06KVO45H;;;;;;;;;;;;
114623H5KVG3;SZEGECSELHETŐ ANYA ZÁRT M5 KISPEREMŰ ACÉL HATLAP 23H05KVG3;;;;;;;;;;;;
114623M06VO65;SZEGECSELHETŐ ANYA M6 SF.ACÉL.23M06VO65 LV 4.5-6.5 MM;;;-;;;;;;;;;
114624H06CO30;SZEGECSELHETŐ ANYA M6 LAPOSFEJŰ HATLAPÚ A2 24H06CO30;;;;;;;;;;102926  155;;
114624H06KVO30;SZEGECSELHETŐ ANYA M6 MIKROPEREMES HATLAPÚ A2 24H06KVO30;;;-;;;;;;;102726  16;;
114624M05KVO30;SZEGECSELHETŐ ANYA M5 SÜLLYESZTETTFEJŰ A2 24M05KVO30;;;-;;;;;;;-;;
114624M06CG30R;SZEGECSELHETŐ ANYA M6 ZÁRT RECÉS LAPOS PEREMES A2 24M06CG30R;;;;;;;;;;102626  22;;
114624M06KV030;SZEGECSELHETŐ ANYA M6 MIKROPEREMES RECÉS A2 24M06KVO30;;;;;;;;;;102126  14;;
114624M06VO45;SZEGECSELHETŐ ANYA M6 SÜLLYESZTETTFEJŰ A2 24M06VO45;;;;;;;;;;102326  16;;
114627M06V030;SZEGECSELHETŐ ANYA M6 MIKROPEREMES RECÉS ACÉL 27M06VO30;;;-;;;;;;;;;
114627M06VG30;SZEGECSELHETŐ ANYA M6 KISPEREMŰ ZÁRT 27M06VG30 FURAT 9 MM;;;;;;;;;;;;
114627M06VO30;SZEGECSELHETŐ ANYA M6 KISPEREMŰ RECÉZETT ACÉL 27M06VO30 FR;;;;;;;;;;;;
114628M06CO30;SZEGECSELHETŐ ANYA M6 LAPOSFEJŰ A4 28M06CO30 SIMA;;;;;;;;;;;;
1146A1M6SFL;SZEGECSELHETŐ ANYA M6 SÜLLYESZTETTFEJŰ KISPEREMŰ ALUMÍNIUM A1M6SFL S;;;58186;;;;;;;;;
1146A1M6SFLX;SZEGECSELHETŐ ANYA M6 SÜLLYESZTETTFEJŰ ALUMÍNIUM A1M6SFLx S 1.5-3.8;;;00006;;;;;;;;;
1146A1M6STC;SZEGECSELHETŐ ANYA M6 LAPOSFEJŰ ALUMÍNIUM A1M6STC S 0.5-2.3;;;00007;;;;;;;;;
1146A224H06KVO30;SZEGECSELHETŐ ANYA M6 KIS SÜLLYESZTETT PEREMŰ F.HATLAP A2 24H06KVO30 05-3;;;;;;;;;;102726  16;;
1146A2I1M6SFLKP;SZEGECSELHETŐ ANYA M6 KISPEREMŰ ROVÁTKOLT A2 I1M6SFL 0.5-3  S;;11865006003000040000;56639;;;;;;;102126  14;;
1146A2I1M6SFLKPR;SZEGECSELHETŐ ANYA M6 SÜLLYESZTETTFEJŰ KISPEREMŰ ROVÁTKOLT A2 I1M6SFL 0.5-3;;;56639;;;;;;;102126  14;;
1146A2I1M6SFLSF;SZEGECSELHETŐ ANYA M6 SÜLLYESZTETTFEJŰ A2 I1M6SFLx1.5-3.8 S;;;01560;;;;;;;102326  16;;
1146A2I1M6STC;SZEGECSELHETŐ ANYA M6 LAPOSFEJŰ A2 I1M6STC 0.5-3 14,5;;11850006001400004000;01561;;;;;;;102526  145;;
1146A4I1M6SFLSF;SZEGECSELHETŐ ANYA M6 SÜLLYESZTETTFEJŰ A4 I1M6SFLx1.5-4.5 S;;;;;;;;;;102346  16;;
1146A4MPHL0530;SZEGECSELHETŐ ANYA M6 MIKROPEREMES HATLAPÚ A4 ÁTFOGÁS: 0.5-3.0 MM;;;;;;;;;;102746 16;;
1146OHC30;SZEGECSELHETŐ ANYA M6 LAPOSFEJŰ ACÉL OHC-30 FR 0.5-3;;;03441;;69135.060.030;;;;;;;
1146S1M6EFL;SZEGECSELHETŐ ANYA M6 KISPEREMŰ HATLAPÚ ACÉL S1M6EFL;;;6131180;;;;;;;;;
1146S1M6ETC;SZEGECSELHETŐ ANYA M6 LAPOSFEJŰ HATLAPÚ ACÉL S1M6ETC;;;03438;;;;;;;;;
1146S1M6HLB;SZEGECSELHETŐ ANYA M6 KISPEREMŰ HATLAPÚ ACÉL(0,5-3,5) BÖLLHOFF;;;;;;;;;;;;
1146S1M6SFL;SZEGECSELHETŐ ANYA M6 KISPEREMŰ ACÉL S1M6SFL 05-2.5 FR;11865006003000001001;;03439;;;;;;;;;
1146S1M6SFL1538;SZEGECSELHETŐ ANYA M6 SÜLLYESZTETTFEJŰ ACÉL S1M6SFLx1.5-3.8 FR;11855006004500001001;11850006004500001001;03440;;;;;;;;;
1146S1M6STC;SZEGECSELHETŐ ANYA M6 LAPOSFEJŰ ACÉL S1M6STC FR 0.5-3;;;03441;11710.18.01.060.014;;;;;;;;
1146S1M6STCNP;SZEGECSELHETŐ ANYA M6 LAPOSFEJŰ ACÉL NAGY PEREMES/13/  S1M6STC FR;;;6130806;;;;;;;;;
1146S2M6SFL235;SZEGECSELHETŐ ANYA M6 KISPEREMŰ ACÉL S2M6SFL 2-5.5;;;03451;;;;;;;;;
